26;3;blakely79;4;1;-0.05;11.489;-0.047;0.8282;1.37;0.6339;2.71;0.2572;3.952;0.0965;4.768;0.0682;6.239;0.0234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;3;blakely79;5;1;0.015;1.2315;0.017;0.9237;1.236;0.5849;1.366;0.6718;2.408;0.3068;3.059;0.2255;3.875;0.0888;4.069;0.116;4.591;0.0679;4.98;0.0665;5.113;0.035;5.633;0.0326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;3;blakely79;6;1;-0.051;12.084;-0.048;0.9143;0.847;0.7059;1.143;0.3625;1.435;0.4335;1.566;0.3414;1.959;0.1898;2.087;0.2826;2.707;0.1806;2.903;0.151;3.198;0.0946;3.295;0.1154;3.557;0.0688;3.818;0.0688;4.016;0.036;4.147;0.0267;4.34;0.0402;4.798;0.0252;4.804;0.00607;5.092;0.0171;5.224;0.0123;5.583;0.00979;6.894;0.00114;7.09;0.00089;;;;;;;;;;;;;;;;
29;3;blakely79;7;1;-0.016;11.277;-0.016;0.8022;0.484;0.6248;1.13;0.3463;1.13;0.4106;1.58;0.1753;2.261;0.172;2.324;0.1312;2.551;0.1199;2.613;0.072;2.743;0.0685;3.193;0.0357;3.677;0.0196;3.71;0.0228;5.094;0.00273;5.288;0.00242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;3;blakely79;8;1;-0.018;11.857;-0.047;0.8604;0.26;0.748;0.391;0.5429;0.845;0.4626;1.234;0.4062;1.528;0.2119;1.82;0.1976;1.886;0.1617;2.018;0.0942;2.538;0.0516;2.832;0.0301;2.993;0.0379;3.221;0.0254;3.45;0.0165;3.806;0.0152;3.939;0.00786;4.037;0.00527;4.07;0.00467;4.621;0.00467;;;;;;;;;;;;;;;;;;;;;;;;
31;3;blakely79;9;1;0.016;1.0856;-0.017;0.9499;0.787;0.7499;1.602;0.4175;2.389;0.3262;2.516;0.2231;3.105;0.1743;3.793;0.1334;3.887;0.0912;4.767;0.0482;5.71;0.0195;5.745;0.0223;7.323;0.00182;7.478;0.0009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;3;blakely79;10;1;-0.081;10.964;-0.083;0.9308;0.783;0.7511;0.784;0.8151;1.761;0.5147;2.831;0.225;3.641;0.1159;4.449;0.0496;5.163;0.0289;6.23;0.00998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;3;blakely79;11;1;-0.082;11.082;-0.049;0.9306;0.62;0.67;0.849;0.5924;1.503;0.5401;1.925;0.2799;2.481;0.2211;3.199;0.1559;3.424;0.0612;4.045;0.0558;4.665;0.0334;5.182;0.00777;6.158;0.00236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;3;blakely79;12;1;-0.049;11.532;-0.049;0.9799;0.458;0.7368;0.653;0.5543;1.438;0.3689;1.994;0.261;2.415;0.0963;2.842;0.1145;3.495;0.0661;3.655;0.027;4.081;0.0262;4.47;0.0105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;3;blakely79;13;1;-0.048;11.642;-0.05;0.859;0.357;0.6339;0.88;0.4921;1.073;0.3418;1.104;0.2447;1.659;0.188;2.146;0.111;2.242;0.0803;2.244;0.0973;2.471;0.0726;3.085;0.0229;3.576;0.0198;3.639;0.0153;3.638;0.0126;3.538;0.00928;5.003;0.00262;5.032;0.00148;;;;;;;;;;;;;;;;;;;;;;;;;;;;
