1;1;chapman77;1;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;10;tsuboi98;1;-0.006;0.9954;0.49;0.8502;0.997;0.6294;1.998;0.3293;2.999;0.1777;4.013;0.1096;6.003;0.0109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;10;tsuboi98;2;-0.002;0.9923;0.98;0.7971;1.993;0.4978;2.992;0.3277;4.013;0.1894;6.005;0.0348;8.003;0.00587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;10;tsuboi98;3;-0.002;0.9923;1.;0.6139;1.994;0.3428;2.995;0.1771;4.013;0.0679;6.006;0.00591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;10;tsuboi98;4;-0.006;0.9923;0.988;0.9139;1.989;0.741;2.99;0.5915;3.999;0.3493;6.002;0.1089;8.001;0.0198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;10;tsuboi98;5;-0.006;0.9954;0.992;0.9369;1.989;0.7811;2.998;0.6178;4.;0.3799;6.;0.1276;7.999;0.0388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;11;tsuchida98;1;-0.03;10.105;0.967;0.6196;1.983;0.3644;3.001;0.1869;4.03;0.0721;6.021;0.00609;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;11;tsuchida98;2;-0.007;10.015;0.99;0.9311;1.988;0.7421;3.993;0.3527;5.99;0.1315;8.005;0.0403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;12;weyrather99;1;0.78;10.431;1.028;0.9394;1.424;0.8697;1.826;0.825;2.024;0.7405;2.535;0.7296;2.784;0.6109;3.043;0.6825;3.54;0.5913;3.544;0.4556;4.042;0.4306;4.535;0.4661;5.033;0.378;5.529;0.2489;6.023;0.278;6.519;0.1496;7.5;0.1108;8.494;0.0645;8.974;0.0665;;;;;;;;;;;;
31;12;weyrather99;2;0.507;10.296;0.761;10.183;1.015;0.9451;1.015;0.8559;1.511;0.9212;1.511;0.7666;2.019;0.7264;2.019;0.684;2.537;0.6413;2.526;0.6038;3.034;0.5276;3.017;0.4548;3.535;0.3862;4.043;0.3873;4.048;0.3673;4.539;0.2727;4.539;0.2427;5.035;0.2324;5.035;0.2105;6.033;0.1309;6.028;0.1097;6.524;0.1096;7.014;0.0898;8.018;0.0398;9.005;0.0299
32;12;weyrather99;3;0.132;0.7407;0.257;0.6421;0.51;0.4089;0.507;0.3623;1.01;0.1789;1.012;0.1635;1.51;0.0805;1.758;0.0551;2.008;0.035;2.005;0.031;2.498;0.013;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;13;furusawa00;1;-0.003;1.;0.99;0.8866;3.008;0.4824;5.004;0.2425;6.968;0.1021;9.027;0.0359;11.994;0.0063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;13;furusawa00;2;-0.003;1.;1.011;0.6959;3.007;0.2247;5.012;0.0458;6.963;0.00523;7.997;0.00152;9.01;0.00048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;13;furusawa00;3;-0.003;1.;2.005;0.7824;3.99;0.3566;5.996;0.0974;8.001;0.0177;10.016;0.00218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;14;suzuki00;1;0.039;0.9794;0.503;0.8286;0.916;0.6686;1.027;0.5866;1.511;0.4993;2.429;0.2671;3.216;0.1482;4.033;0.0676;6.031;0.0121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;14;suzuki00;2;0.05;10.515;0.538;0.9344;1.045;0.6519;1.531;0.4881;2.464;0.2819;3.224;0.1438;4.044;0.076;6.025;0.00956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;14;suzuki00;3;-0.046;1.033;0.408;10.476;0.678;0.8572;1.938;0.3689;3.936;0.0525;5.974;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;14;suzuki00;4;0.114;10.272;1.171;0.9271;2.163;0.6951;4.164;0.4148;6.151;0.1259;8.146;0.0273;10.154;0.00549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;14;suzuki00;5;-0.005;0.9912;0.748;0.8493;1.531;0.6282;2.419;0.4442;3.601;0.2349;4.828;0.1215;6.545;0.0386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
