ExpID;Publication;PublicationName;IonExp;Cells;CellClass;CellOrigin;CellCycle;DNAcontent;PhotonRadiation;PhotonExp;Ion;Charge;IrradiationConditions;LET;Energy;ax_paper;bx_paper;ai_paper;bi_paper;ax_fit;bx_fit;ai_fit;bi_fit
640;49;wulf85;49;V79;n;r;a;5,6;N/A;2;40Ar;18;m;1300;9,1;N/A;N/A;0,154;0;0,23993237;0,01398594;N/A;N/A
641;49;wulf85;50;V79;n;r;a;5,6;N/A;2;40Ar;18;m;1300;9,1;N/A;N/A;0,168;0;0,23993237;0,01398594;N/A;N/A
642;49;wulf85;51;V79;n;r;a;5,6;N/A;2;40Ar;18;m;1175;10,4;N/A;N/A;0,282;0;0,23993237;0,01398594;N/A;N/A
643;49;wulf85;52;V79;n;r;a;5,6;N/A;2;40Ar;18;m;940;14,2;N/A;N/A;0,386;0;0,23993237;0,01398594;N/A;N/A
644;49;wulf85;53;V79;n;r;a;5,6;N/A;2;40Ar;18;m;830;16,9;N/A;N/A;0,422;0;0,23993237;0,01398594;N/A;N/A
645;49;wulf85;54;V79;n;r;a;5,6;N/A;2;40Ar;18;m;730;20;N/A;N/A;0,588;0;0,23993237;0,01398594;N/A;N/A
646;49;wulf85;55;V79;n;r;a;5,6;N/A;2;40Ar;18;m;480;35;N/A;N/A;0,686;0;0,23993237;0,01398594;N/A;N/A
647;49;wulf85;56;V79;n;r;a;5,6;N/A;2;40Ar;18;m;155;165;N/A;N/A;0,919;0;0,23993237;0,01398594;N/A;N/A
648;49;wulf85;57;V79;n;r;a;5,6;N/A;2;40Ar;18;m;150;170;N/A;N/A;1,129;0;0,23993237;0,01398594;N/A;N/A
649;49;wulf85;58;V79;n;r;a;5,6;N/A;2;40Ca;20;m;1500;10,6;N/A;N/A;0,125;0;0,23993237;0,01398594;N/A;N/A
650;49;wulf85;59;V79;n;r;a;5,6;N/A;2;56Fe;26;m;1590;0,1;N/A;N/A;0,031;0;0,23993237;0,01398594;N/A;N/A
651;49;wulf85;60;V79;n;r;a;5,6;N/A;2;56Fe;26;m;1950;13;N/A;N/A;0,208;0;0,23993237;0,01398594;N/A;N/A
652;49;wulf85;61;V79;n;r;a;5,6;N/A;2;56Fe;26;m;1650;17;N/A;N/A;0,265;0;0,23993237;0,01398594;N/A;N/A
653;49;wulf85;62;V79;n;r;a;5,6;N/A;2;56Fe;26;m;650;60;N/A;N/A;0,527;0;0,23993237;0,01398594;N/A;N/A
654;49;wulf85;63;V79;n;r;a;5,6;N/A;2;56Fe;26;m;520;80;N/A;N/A;0,672;0;0,23993237;0,01398594;N/A;N/A
655;49;wulf85;64;V79;n;r;a;5,6;N/A;2;56Fe;26;m;460;95;N/A;N/A;0,62;0;0,23993237;0,01398594;N/A;N/A
656;49;wulf85;65;V79;n;r;a;5,6;N/A;2;56Fe;26;m;185;400;N/A;N/A;1,088;0;0,23993237;0,01398594;N/A;N/A
657;49;wulf85;66;V79;n;r;a;5,6;N/A;2;58Ni;28;m;5170;0,7;N/A;N/A;0,015;0;0,23993237;0,01398594;N/A;N/A
658;49;wulf85;67;V79;n;r;a;5,6;N/A;2;58Ni;28;m;4480;1,8;N/A;N/A;0,036;0;0,23993237;0,01398594;N/A;N/A
659;49;wulf85;68;V79;n;r;a;5,6;N/A;2;58Ni;28;m;4160;2,5;N/A;N/A;0,059;0;0,23993237;0,01398594;N/A;N/A
660;49;wulf85;69;V79;n;r;a;5,6;N/A;2;58Ni;28;m;3700;4,5;N/A;N/A;0,1;0;0,23993237;0,01398594;N/A;N/A
661;49;wulf85;70;V79;n;r;a;5,6;N/A;2;58Ni;28;m;3350;6,1;N/A;N/A;0,106;0;0,23993237;0,01398594;N/A;N/A
662;49;wulf85;71;V79;n;r;a;5,6;N/A;2;84Kr;36;m;5800;2,83;N/A;N/A;0,045;0;0,23993237;0,01398594;N/A;N/A
663;49;wulf85;72;V79;n;r;a;5,6;N/A;2;84Kr;36;m;4000;11;N/A;N/A;0,083;0;0,23993237;0,01398594;N/A;N/A
664;49;wulf85;73;V79;n;r;a;5,6;N/A;2;84Kr;36;m;3950;11,1;N/A;N/A;0,089;0;0,23993237;0,01398594;N/A;N/A
665;49;wulf85;74;V79;n;r;a;5,6;N/A;2;84Kr;36;m;3190;17,9;N/A;N/A;0,127;0;0,23993237;0,01398594;N/A;N/A
666;49;wulf85;75;V79;n;r;a;5,6;N/A;2;84Kr;36;m;3150;18;N/A;N/A;0,137;0;0,23993237;0,01398594;N/A;N/A
667;49;wulf85;76;V79;n;r;a;5,6;N/A;2;132Xe;54;m;9100;3,75;N/A;N/A;0,03;0;0,23993237;0,01398594;N/A;N/A
668;49;wulf85;77;V79;n;r;a;5,6;N/A;2;132Xe;54;m;8800;5,3;N/A;N/A;0,029;0;0,23993237;0,01398594;N/A;N/A
669;49;wulf85;78;V79;n;r;a;5,6;N/A;2;132Xe;54;m;8800;5,3;N/A;N/A;0,032;0;0,23993237;0,01398594;N/A;N/A
670;49;wulf85;79;V79;n;r;a;5,6;N/A;2;132Xe;54;m;8500;6,2;N/A;N/A;0,037;0;0,23993237;0,01398594;N/A;N/A
671;49;wulf85;80;V79;n;r;a;5,6;N/A;2;132Xe;54;m;8400;6,51;N/A;N/A;0,051;0;0,23993237;0,01398594;N/A;N/A
672;49;wulf85;81;V79;n;r;a;5,6;N/A;2;132Xe;54;m;7600;10,1;N/A;N/A;0,049;0;0,23993237;0,01398594;N/A;N/A
673;49;wulf85;82;V79;n;r;a;5,6;N/A;2;132Xe;54;m;7600;10,1;N/A;N/A;0,051;0;0,23993237;0,01398594;N/A;N/A
674;49;wulf85;83;V79;n;r;a;5,6;N/A;2;132Xe;54;m;7400;11,3;N/A;N/A;0,057;0;0,23993237;0,01398594;N/A;N/A
675;49;wulf85;84;V79;n;r;a;5,6;N/A;2;132Xe;54;m;7000;13,3;N/A;N/A;0,05;0;0,23993237;0,01398594;N/A;N/A
676;49;wulf85;85;V79;n;r;a;5,6;N/A;2;132Xe;54;m;7000;13,3;N/A;N/A;0,053;0;0,23993237;0,01398594;N/A;N/A
677;49;wulf85;86;V79;n;r;a;5,6;N/A;2;132Xe;54;m;6600;15,8;N/A;N/A;0,065;0;0,23993237;0,01398594;N/A;N/A
678;49;wulf85;87;V79;n;r;a;5,6;N/A;2;132Xe;54;m;6300;17,7;N/A;N/A;0,061;0;0,23993237;0,01398594;N/A;N/A
679;49;wulf85;88;V79;n;r;a;5,6;N/A;2;132Xe;54;m;6300;17,7;N/A;N/A;0,062;0;0,23993237;0,01398594;N/A;N/A
680;49;wulf85;89;V79;n;r;a;5,6;N/A;2;238U;92;m;12500;1,1;N/A;N/A;0,021;0;0,23993237;0,01398594;N/A;N/A
681;49;wulf85;90;V79;n;r;a;5,6;N/A;2;238U;92;m;13500;1,7;N/A;N/A;0,021;0;0,23993237;0,01398594;N/A;N/A
682;49;wulf85;91;V79;n;r;a;5,6;N/A;2;238U;92;m;13500;1,7;N/A;N/A;0,02;0;0,23993237;0,01398594;N/A;N/A
683;49;wulf85;92;V79;n;r;a;5,6;N/A;2;238U;92;m;15000;2,5;N/A;N/A;0,017;0;0,23993237;0,01398594;N/A;N/A
684;49;wulf85;93;V79;n;r;a;5,6;N/A;2;238U;92;m;15200;2,75;N/A;N/A;0,02;0;0,23993237;0,01398594;N/A;N/A
685;49;wulf85;94;V79;n;r;a;5,6;N/A;2;238U;92;m;15500;3,2;N/A;N/A;0,022;0;0,23993237;0,01398594;N/A;N/A
686;49;wulf85;95;V79;n;r;a;5,6;N/A;2;238U;92;m;15700;3,85;N/A;N/A;0,019;0;0,23993237;0,01398594;N/A;N/A
687;49;wulf85;96;V79;n;r;a;5,6;N/A;2;238U;92;m;15700;3,85;N/A;N/A;0,023;0;0,23993237;0,01398594;N/A;N/A
688;49;wulf85;97;V79;n;r;a;5,6;N/A;2;238U;92;m;15750;4,1;N/A;N/A;0,023;0;0,23993237;0,01398594;N/A;N/A
689;49;wulf85;98;V79;n;r;a;5,6;N/A;2;238U;92;m;15750;4,1;N/A;N/A;0,021;0;0,23993237;0,01398594;N/A;N/A
690;49;wulf85;99;V79;n;r;a;5,6;N/A;2;238U;92;m;15750;4,1;N/A;N/A;0,023;0;0,23993237;0,01398594;N/A;N/A
691;49;wulf85;100;V79;n;r;a;5,6;N/A;2;238U;92;m;15800;4,7;N/A;N/A;0,019;0;0,23993237;0,01398594;N/A;N/A
692;49;wulf85;101;V79;n;r;a;5,6;N/A;2;238U;92;m;15600;6,9;N/A;N/A;0,026;0;0,23993237;0,01398594;N/A;N/A
693;49;wulf85;102;V79;n;r;a;5,6;N/A;2;238U;92;m;15600;6,9;N/A;N/A;0,028;0;0,23993237;0,01398594;N/A;N/A
694;49;wulf85;103;V79;n;r;a;5,6;N/A;2;238U;92;m;15500;8,2;N/A;N/A;0,026;0;0,23993237;0,01398594;N/A;N/A
695;49;wulf85;104;V79;n;r;a;5,6;N/A;2;238U;92;m;14400;12,3;N/A;N/A;0,041;0;0,23993237;0,01398594;N/A;N/A
696;49;wulf85;105;V79;n;r;a;5,6;N/A;2;238U;92;m;14000;13,3;N/A;N/A;0,043;0;0,23993237;0,01398594;N/A;N/A
697;49;wulf85;106;V79;n;r;a;5,6;N/A;2;238U;92;m;13800;13,7;N/A;N/A;0,043;0;0,23993237;0,01398594;N/A;N/A
698;50;scholz03;1;CHO;n;r;a;5,6;250kVp;1;20Ne;10;m;30,25;396;N/A;N/A;N/A;N/A;0,21040246;0,023760718;0,415490104;0,03038462
699;50;scholz03;2;CHO;n;r;a;5,6;250kVp;1;16O;8;m;21,4;325;N/A;N/A;N/A;N/A;0,21040246;0,023760718;0,304696069;0,042230047
700;50;scholz03;3;CHO;n;r;a;5,6;250kVp;1;12C;6;m;13,3;270;N/A;N/A;N/A;N/A;0,21040246;0,023760718;0,388751839;0,038380715
701;50;scholz03;4;CHO;n;r;a;5,6;250kVp;1;20Ne;10;m;410;11;N/A;N/A;N/A;N/A;0,21040246;0,023760718;0,773541926;0,028466396
702;50;scholz03;5;CHO;n;r;a;5,6;250kVp;1;16O;8;m;265;11;N/A;N/A;N/A;N/A;0,21040246;0,023760718;0,996020721;0
703;50;scholz03;6;CHO;n;r;a;5,6;250kVp;1;12C;6;m;150;11;N/A;N/A;N/A;N/A;0,21040246;0,023760718;1,516127275;-0,112213063
704;50;scholz03;7;V79;n;r;a;5,6;250kVp;2;238U;92;m;16500;5;N/A;N/A;N/A;N/A;0,103948449;0,025062463;0,017235296;8,64E-05
705;50;scholz03;8;V79;n;r;a;5,6;250kVp;2;12C;6;m;150;11;N/A;N/A;N/A;N/A;0,103948449;0,025062463;1,50438372;0
706;51;persson02;1;AA;t;h;a;6;60Co;1;10B;5;m;40;36,6;0,047;0,048;0,206;0,151;0,06924948;0,043688825;0,337765969;0,105968754
707;51;persson02;2;AA;t;h;a;6;60Co;1;10B;5;m;80;15,3;0,047;0,048;0,238;0,334;0,06924948;0,043688825;0,376246158;0,257520167
708;51;persson02;3;AA;t;h;a;6;60Co;1;10B;5;m;160;6,6;0,047;0,048;0,712;0,226;0,06924948;0,043688825;0,827465442;0,160400511
709;52;yang84;1;C3H10T1/2;n;r;a;5,6;225kVp;1;56Fe;26;m;500;300;N/A;N/A;N/A;N/A;0,060683523;0,045792111;0,594819703;0,019127513
710;52;yang84;2;C3H10T1/2;n;r;a;5,6;225kVp;2;238U;92;m;1900;960;N/A;N/A;N/A;N/A;0,044244084;0,057848767;0,24322074;0,015035937
711;53;scholz97;1;CHO;n;r;a;5,6;250kVp;1;12C;6;m;150;11;0,18;0,028;N/A;N/A;N/A;N/A;0,945842771;0
712;53;scholz97;2;CHO;n;r;a;5,6;250kVp;1;12C;6;m;32;77;0,18;0,028;N/A;N/A;N/A;N/A;0,431898959;0,063352912
713;53;scholz97;3;CHO;n;r;a;5,6;250kVp;1;12C;6;m;16,6;190;0,18;0,028;N/A;N/A;N/A;N/A;0,336841427;0,041772797
714;53;scholz97;4;CHO;n;r;a;5,6;250kVp;1;12C;6;m;13,5;266;0,18;0,028;N/A;N/A;N/A;N/A;0,369726966;0,040519974
715;53;scholz97;5;CHO;n;r;a;5,6;250kVp;1;16O;8;m;265;11;0,18;0,028;N/A;N/A;N/A;N/A;1,035765135;0
716;53;scholz97;6;CHO;n;r;a;5,6;250kVp;1;16O;8;m;50,5;89;0,18;0,028;N/A;N/A;N/A;N/A;1,097313713;-0,057514886
717;53;scholz97;7;CHO;n;r;a;5,6;250kVp;1;16O;8;m;29;194;0,18;0,028;N/A;N/A;N/A;N/A;0,577239678;0,026374254
718;53;scholz97;8;CHO;n;r;a;5,6;250kVp;1;16O;8;m;19,4;395;0,18;0,028;N/A;N/A;N/A;N/A;0,45930649;0,023481628
719;54;prise90;1;V79;n;r;a;5,6;250kVp;1;1H;1;m;16,9;1,9;0,11;0,027;0,35;0,045;N/A;N/A;0,357050362;0,044449582
720;54;prise90;2;V79;n;r;a;5,6;250kVp;1;1H;1;m;23,7;1,15;0,11;0,027;0,33;0,066;N/A;N/A;0,386074994;0,051387065
721;54;prise90;3;V79;n;r;a;5,6;250kVp;1;1H;1;m;31;0,76;0,11;0,027;1,03;0;N/A;N/A;1,081809449;0
722;54;prise90;4;V79;n;r;a;5,6;250kVp;1;4He;2;m;108;0,95;0,11;0,027;1,31;0;N/A;N/A;1,544546642;-0,038737736
723;55;terato08;1;AA8;n;r;a;5,6;60Co;1;12C;6;m;13;283;N/A;N/A;N/A;N/A;0,416702572;0,01378467;0,491649726;0,034425635
724;55;terato08;2;AA8;n;r;a;5,6;60Co;1;12C;6;m;30;83;N/A;N/A;N/A;N/A;0,416702572;0,01378467;0;0,234714045
725;55;terato08;3;AA8;n;r;a;5,6;60Co;1;12C;6;m;50;43;N/A;N/A;N/A;N/A;0,416702572;0,01378467;1,02664098;0
726;55;terato08;4;AA8;n;r;a;5,6;60Co;1;56Fe;26;m;200;290;N/A;N/A;N/A;N/A;0,416702572;0,01378467;1,527676021;0
727;56;suzuki96;1;HE;n;h;G1/G0;6;137Cs;1;12C;6;m;22;126;N/A;N/A;N/A;N/A;0,180768402;0,156671794;1,278174468;0
728;56;suzuki96;2;HE;n;h;G1/G0;6;137Cs;1;12C;6;m;39;59;N/A;N/A;N/A;N/A;0,180768402;0,156671794;1,465382435;0
729;56;suzuki96;3;HE;n;h;G1/G0;6;137Cs;1;12C;6;m;68;29,3;N/A;N/A;N/A;N/A;0,180768402;0,156671794;1,674743495;0
730;56;suzuki96;4;HE;n;h;G1/G0;6;137Cs;1;12C;6;m;75;26;N/A;N/A;N/A;N/A;0,180768402;0,156671794;1,851966554;0
731;56;suzuki96;5;HE;n;h;G1/G0;6;137Cs;1;12C;6;m;110;16,4;N/A;N/A;N/A;N/A;0,180768402;0,156671794;3,066868516;-0,386914068
732;56;suzuki96;6;HE;n;h;G1/G0;6;137Cs;1;12C;6;m;124;14;N/A;N/A;N/A;N/A;0,180768402;0,156671794;2,42207169;-0,137544718
733;56;suzuki96;7;HE;n;h;G1/G0;6;137Cs;1;12C;6;m;148;11,2;N/A;N/A;N/A;N/A;0,180768402;0,156671794;2,072970854;0
734;56;suzuki96;8;HE;n;h;G1/G0;6;137Cs;1;12C;6;m;230;6,6;N/A;N/A;N/A;N/A;0,180768402;0,156671794;1,991217264;-0,169023134
735;57;matsumoto08;1;C32TG;t;h;a;6;200kVp;1;12C;6;s;50;43,4;N/A;N/A;N/A;N/A;0,253764129;0,038231066;0,755356732;0,050605493
736;57;matsumoto08;2;Colo679;t;h;a;6;200kVp;2;12C;6;s;50;43,4;N/A;N/A;N/A;N/A;0;0,099494617;0,623458005;0,056241097
737;57;matsumoto08;3;HMV-I;t;h;a;6;200kVp;3;12C;6;s;50;43,4;N/A;N/A;N/A;N/A;0,366918102;0,048735305;0,5069372;0,131131149
738;57;matsumoto08;4;HMV-II;t;h;a;6;200kVp;4;12C;6;s;50;43,4;N/A;N/A;N/A;N/A;0,317762911;0,018162827;0,738485271;0
739;57;matsumoto08;5;92-1;t;h;a;6;200kVp;5;12C;6;s;50;43,4;N/A;N/A;N/A;N/A;0,848353119;0,081714968;1,534980388;0
740;57;matsumoto08;6;MeWo;t;h;a;6;200kVp;6;12C;6;s;50;43,4;N/A;N/A;N/A;N/A;0,559823941;0,037805709;1,046692519;0,016834468
741;58;mehnati05;1;CHO;n;r;a;5,6;200kVp;1;12C;6;m;20;144;N/A;N/A;0,67;0;0,275513617;0,016548249;0,642901598;0
742;58;mehnati05;2;CHO;n;r;a;5,6;200kVp;1;12C;6;m;60;35;N/A;N/A;0,83;0;0,275513617;0,016548249;N/A;N/A
743;58;mehnati05;3;CHO;n;r;a;5,6;200kVp;1;12C;6;m;82;23,5;N/A;N/A;1;0;0,275513617;0,016548249;N/A;N/A
744;58;mehnati05;4;CHO;n;r;a;5,6;200kVp;1;12C;6;m;99;18,7;N/A;N/A;1,03;0;0,275513617;0,016548249;N/A;N/A
745;58;mehnati05;5;CHO;n;r;a;5,6;200kVp;1;20Ne;10;m;102;64;N/A;N/A;1,1;0;0,275513617;0,016548249;N/A;N/A
746;58;mehnati05;6;CHO;n;r;a;5,6;200kVp;1;20Ne;10;m;120;52;N/A;N/A;1,11;0;0,275513617;0,016548249;N/A;N/A
747;58;mehnati05;7;CHO;n;r;a;5,6;200kVp;1;20Ne;10;m;171;34;N/A;N/A;1,32;0;0,275513617;0,016548249;1,311869776;0
748;58;mehnati05;8;CHO;n;r;a;5,6;200kVp;1;20Ne;10;m;228;23,4;N/A;N/A;1,23;0;0,275513617;0,016548249;N/A;N/A
749;58;mehnati05;9;CHO;n;r;a;5,6;200kVp;1;20Ne;10;m;341;14;N/A;N/A;1,03;0;0,275513617;0,016548249;N/A;N/A
750;58;mehnati05;10;CHO;n;r;a;5,6;200kVp;1;40Ar;18;m;341;105,7;N/A;N/A;0,3;0;0,275513617;0,016548249;N/A;N/A
751;58;mehnati05;11;CHO;n;r;a;5,6;200kVp;1;56Fe;26;m;780;55;N/A;N/A;0,48;0;0,275513617;0,016548249;0,472407738;0
752;58;mehnati05;12;CHO;n;r;a;5,6;200kVp;1;56Fe;26;m;1200;28;N/A;N/A;0,38;0;0,275513617;0,016548249;0,380344663;0
753;58;mehnati05;13;CHO;n;r;a;5,6;200kVp;1;56Fe;26;m;2000;13;N/A;N/A;0,29;0;0,275513617;0,016548249;0,27335316;0,003044496
754;59;stenerloew95;1;HTh7;t;h;a;6;60Co;1;4He;2;s;40;3,82;0,269;0,052;0,738;0;0,253486555;0,054001207;0,769713887;0
755;59;stenerloew95;2;B16;t;r;a;5,6;60Co;2;4He;2;s;40;3,82;0,122;0,043;0,741;0,07;0,226868125;0,03371647;1,205421441;0
756;59;stenerloew95;3;IGR;t;h;a;6;60Co;3;4He;2;s;40;3,82;0,108;0,056;0,531;0,062;0,123564504;0,054512705;0,92417388;0
757;59;stenerloew95;4;V79;n;r;a;5,6;60Co;4;4He;2;s;40;3,82;0,188;0,029;0,649;0,004;0,203051741;0,026307167;0,469844301;0,032520013
758;59;stenerloew95;5;V79;n;r;a;5,6;60Co;4;14N;7;m;125;20,3;0,188;0,029;1,04;0,07;0,203051741;0,026307167;1,191874494;0
759;59;stenerloew95;6;LS-174T;t;h;a;6;60Co;5;4He;2;s;40;3,82;0,543;0;0,918;0;0,545097704;0;0,829105858;0
760;59;stenerloew95;7;LS-174T;t;h;a;6;60Co;5;14N;7;m;125;20,3;0,543;0;1,48;0,209;0,545097704;0;1,772429112;0,122141995
761;59;stenerloew95;8;U-343MG;t;h;a;6;60Co;6;4He;2;s;40;3,82;0,061;0,067;0,784;0;0;0,074107585;0,772331565;0
762;59;stenerloew95;9;U-343MG;t;h;a;6;60Co;6;14N;7;m;125;20,3;0,061;0,067;1,92;0,177;0;0,074107585;2,293489076;0
763;59;stenerloew95;10;DU-145;t;h;a;6;60Co;7;4He;2;s;40;3,82;0,189;0,024;0,731;0;0,21415378;0,022335329;1,000772191;-0,053885661
764;60;okayasu06;1;CHO;n;r;a;5,6;N/A;1;12C;6;m;70;28,5;N/A;N/A;N/A;N/A;0;0,072084477;0,541986461;0,050484499
765;60;okayasu06;2;CHO;n;r;a;5,6;N/A;1;56Fe;26;m;200;430;N/A;N/A;N/A;N/A;0;0,072084477;1,086228687;0,056839871
766;60;okayasu06;3;xrs6;n;r;a;5,6;N/A;2;12C;6;m;70;28,5;N/A;N/A;N/A;N/A;1,731499604;-0,078632875;2,179405885;-0,161096752
767;60;okayasu06;4;xrs6;n;r;a;5,6;N/A;2;56Fe;26;m;200;430;N/A;N/A;N/A;N/A;1,731499604;-0,078632875;2,038036673;0
768;60;okayasu06;5;xrs6-hamKu80;n;r;a;5,6;N/A;3;12C;6;m;70;28,5;N/A;N/A;N/A;N/A;0,168107837;0,035493949;0,903440929;0
769;60;okayasu06;6;xrs6-hamKu80;n;r;a;5,6;N/A;3;56Fe;26;m;200;430;N/A;N/A;N/A;N/A;0,168107837;0,035493949;1,116025415;0,077749377
770;60;okayasu06;7;HFL-III;n;h;a;6;N/A;4;12C;6;m;70;28,5;N/A;N/A;N/A;N/A;0,743439051;0;1,779306837;-0,111112145
771;60;okayasu06;8;HFL-III;n;h;a;6;N/A;4;56Fe;26;m;200;430;N/A;N/A;N/A;N/A;0,743439051;0;2,195505578;-0,073790806
772;60;okayasu06;9;180BR;n;h;a;6;N/A;5;12C;6;m;70;28,5;N/A;N/A;N/A;N/A;2,728363984;-0,269829834;2,759324316;-0,297373085
773;60;okayasu06;10;180BR;n;h;a;6;N/A;5;56Fe;26;m;200;430;N/A;N/A;N/A;N/A;2,728363984;-0,269829834;2,738425932;0,427898188
774;61;tsuboi07;1;NB1RGB;n;h;a;6;137Cs;1;12C;6;m;20;144;N/A;N/A;N/A;N/A;0,384460479;0,048536363;0,649082788;0,037565187
775;61;tsuboi07;2;NB1RGB;n;h;a;6;137Cs;1;12C;6;m;40;57;N/A;N/A;N/A;N/A;0,384460479;0,048536363;0,617603526;0,083139447
776;61;tsuboi07;3;NB1RGB;n;h;a;6;137Cs;1;12C;6;m;80;24;N/A;N/A;N/A;N/A;0,384460479;0,048536363;1,050454297;0,140524344
777;61;tsuboi07;4;U-87MG;t;h;a;6;137Cs;2;12C;6;m;20;144;N/A;N/A;N/A;N/A;0,40736381;0,06021779;0,495395083;0,149569882
778;61;tsuboi07;5;U-87MG;t;h;a;6;137Cs;2;12C;6;m;40;57;N/A;N/A;N/A;N/A;0,40736381;0,06021779;0,845166173;0,093406756
779;61;tsuboi07;6;U-87MG;t;h;a;6;137Cs;2;12C;6;m;80;24;N/A;N/A;N/A;N/A;0,40736381;0,06021779;1,110213601;0,161958998
780;61;tsuboi07;7;TK1;t;h;a;6;137Cs;3;12C;6;m;20;144;N/A;N/A;N/A;N/A;0,131166325;0,035210171;0,465083016;0,041496292
781;61;tsuboi07;8;TK1;t;h;a;6;137Cs;3;12C;6;m;40;57;N/A;N/A;N/A;N/A;0,131166325;0,035210171;0,456649291;0,088796892
782;61;tsuboi07;9;TK1;t;h;a;6;137Cs;3;12C;6;m;80;24;N/A;N/A;N/A;N/A;0,131166325;0,035210171;0,801832734;0,240723574
783;62;todd75;1;ChangHL;n;h;a;6;50kVp;1;7Li;3;m;55;7;N/A;N/A;N/A;N/A;0,353035627;0,077668112;1,282929598;0
784;62;todd75;2;ChangHL;n;h;a;6;50kVp;2;12C;6;m;220;7;N/A;N/A;N/A;N/A;0,303621492;0,044133812;0,228745583;0,547262468
785;62;todd75;3;ChangHL;n;h;a;6;50kVp;3;40Ar;18;m;1940;5,3;N/A;N/A;N/A;N/A;0,373415361;0,056738095;0;0,026490525
786;62;todd75;4;M3-1;n;r;a;5,6;50kVp;4;7Li;3;m;55;7;N/A;N/A;N/A;N/A;0;0,066090468;0,847098093;0,093783924
787;62;todd75;5;M3-1;n;r;a;5,6;50kVp;5;11B;5;m;165;6,3;N/A;N/A;N/A;N/A;0,234421813;0,039540247;0;0,454976701
788;62;todd75;6;M3-1;n;r;a;5,6;50kVp;6;12C;6;m;220;7;N/A;N/A;N/A;N/A;0;0,044183233;0,469784176;0,115498722
789;62;todd75;7;M3-1;n;r;a;5,6;50kVp;7;14N;7;m;350;5,7;N/A;N/A;N/A;N/A;0,295554437;0,024984548;0,936611615;0
790;62;todd75;8;M3-1;n;r;a;5,6;50kVp;8;16O;8;m;385;7;N/A;N/A;N/A;N/A;0,224024891;0,031300467;0,857049917;0
791;62;todd75;9;M3-1;n;r;a;5,6;50kVp;9;20Ne;10;m;580;7;N/A;N/A;N/A;N/A;0;0,049611167;0,60233813;0
792;62;todd75;10;M3-1;n;r;a;5,6;50kVp;10;40Ar;18;m;1940;5,3;N/A;N/A;N/A;N/A;0;0,040380072;0;0,019551545
793;63;hall72;1;V79;n;r;a;5,6;210kVp;1;4He;2;m;106;1,3;N/A;N/A;N/A;N/A;0,291654539;0,004541063;1,585212255;0
794;64;takahashi00;1;A-172;t;h;a;6;150kVp;1;12C;6;s;70;28,5;N/A;N/A;N/A;N/A;0,066259925;0,071702151;0,769416182;0
795;64;takahashi00;2;A-172;t;h;a;6;150kVp;1;4He;2;m;156;0,51;N/A;N/A;N/A;N/A;0,066259925;0,071702151;0,535233417;0
796;64;takahashi00;3;A-172neo;t;h;a;6;150kVp;2;12C;6;s;70;28,5;N/A;N/A;N/A;N/A;0,05199506;0,077375757;0,806469202;0
797;64;takahashi00;4;A-172neo;t;h;a;6;150kVp;2;4He;2;m;156;0,51;N/A;N/A;N/A;N/A;0,05199506;0,077375757;0,3380825;0,038795745
798;64;takahashi00;5;A-172mp53;t;h;a;6;150kVp;3;12C;6;s;70;28,5;N/A;N/A;N/A;N/A;0;0,062291161;0,781743594;0
799;64;takahashi00;6;A-172mp53;t;h;a;6;150kVp;3;4He;2;m;156;0,51;N/A;N/A;N/A;N/A;0;0,062291161;0,34842397;0,037976291
800;64;takahashi00;7;T98G;t;h;a;6;150kVp;4;12C;6;s;70;28,5;N/A;N/A;N/A;N/A;0;0,061481023;0,731585423;0
801;64;takahashi00;8;T98G;t;h;a;6;150kVp;4;4He;2;m;156;0,51;N/A;N/A;N/A;N/A;0;0,061481023;0,304350553;0,044600509
802;65;takahashi04;1;H1299wtp53;t;h;a;6;200kVp;1;12C;6;m;30;83;N/A;N/A;N/A;N/A;0,022372777;0,038471436;0,21887755;0,031446779
803;65;takahashi04;2;H1299wtp53;t;h;a;6;200kVp;1;12C;6;m;70;28,5;N/A;N/A;N/A;N/A;0,022372777;0,038471436;0,167736295;0,086606665
804;65;takahashi04;3;H1299wtp53;t;h;a;6;200kVp;2;12C;6;m;70;28,5;N/A;N/A;N/A;N/A;0,029830496;0,033654085;0;0,123069599
805;65;takahashi04;4;H1299wtp53;t;h;a;6;200kVp;1;12C;6;m;100;18,5;N/A;N/A;N/A;N/A;0,022372777;0,038471436;0,536811271;0,063253475
806;65;takahashi04;5;H1299tp53;t;h;a;6;200kVp;3;12C;6;m;30;83;N/A;N/A;N/A;N/A;0,053843863;0,014911281;0,086810777;0,038550828
807;65;takahashi04;6;H1299tp53;t;h;a;6;200kVp;3;12C;6;m;70;28,5;N/A;N/A;N/A;N/A;0,053843863;0,014911281;0;0,113372382
808;65;takahashi04;7;H1299tp53;t;h;a;6;200kVp;4;12C;6;m;70;28,5;N/A;N/A;N/A;N/A;0;0,016482998;0;0,118802009
809;65;takahashi04;8;H1299tp53;t;h;a;6;200kVp;3;12C;6;m;100;18,5;N/A;N/A;N/A;N/A;0,053843863;0,014911281;0,386831055;0,102266927
810;65;takahashi04;9;H1299tp53-null;t;h;a;6;200kVp;5;12C;6;m;30;83;N/A;N/A;N/A;N/A;0;0,016569684;0,076776766;0,039820126
